End Date,Approving,Disapproving,Unsure/NoData,President
2020-04-30,46.0,50.5,5.5,Trump
2020-03-31,46.5,48.5,5.0,Trump
2020-02-29,48.0,49.5,2.5,Trump
2020-01-31,46.5,51.5,2.0,Trump
2019-12-31,45.0,51.0,4.0,Trump
2019-11-30,43.0,54.0,3.0,Trump
2019-10-31,40.0,57.0,3.0,Trump
2019-09-30,41.5,55.0,3.5,Trump
2019-08-31,40.0,55.5,4.5,Trump
2019-07-31,43.0,52.5,4.5,Trump
2019-06-30,42.0,53.0,5.0,Trump
2019-05-31,41.0,53.5,5.5,Trump
2019-04-30,45.5,50.5,4.0,Trump
2019-03-31,39.0,57.0,4.0,Trump
2019-02-28,43.5,53.0,3.5,Trump
2019-01-31,37.0,59.0,4.0,Trump
2018-12-31,39.25,56.0,4.75,Trump
2018-11-30,39.75,55.75,4.5,Trump
2018-10-31,42.75,52.0,5.25,Trump
2018-09-30,40.2,54.4,5.4,Trump
2018-08-31,40.75,54.0,5.25,Trump
2018-07-31,41.6,54.0,4.4,Trump
2018-06-30,42.25,53.5,4.25,Trump
2018-05-31,41.75,53.25,5.0,Trump
2018-04-30,40.0,54.75,5.25,Trump
2018-03-31,39.2,55.4,5.4,Trump
2018-02-28,39.0,57.25,3.75,Trump
2018-01-31,37.25,58.0,4.75,Trump
2017-12-31,36.4,58.0,5.6,Trump
2017-11-30,37.75,56.75,5.5,Trump
2017-10-31,36.6,57.8,5.6,Trump
2017-09-30,37.25,57.0,5.75,Trump
2017-08-31,36.25,58.5,5.25,Trump
2017-07-31,38.2,56.8,5.0,Trump
2017-06-30,38.0,56.75,5.25,Trump
2017-05-31,39.75,54.75,5.5,Trump
2017-04-30,40.0,54.0,6.0,Trump
2017-03-31,41.0,53.5,5.5,Trump
2017-02-28,41.5,53.0,5.5,Trump
2017-01-31,56.23529411764706,40.11764705882353,3.411764705882353,Obama
2017-01-31,45.0,47.0,8.0,Trump
2016-12-31,55.888888888888886,40.629629629629626,3.4814814814814814,Obama
2016-11-30,55.629629629629626,41.51851851851852,3.1481481481481484,Obama
2016-10-31,53.63333333333333,43.266666666666666,3.1,Obama
2016-09-30,51.793103448275865,44.275862068965516,3.9310344827586206,Obama
2016-08-31,51.4,44.36666666666667,4.066666666666666,Obama
2016-07-31,50.32142857142857,45.57142857142857,4.107142857142857,Obama
2016-06-30,51.46666666666667,44.266666666666666,4.266666666666667,Obama
2016-05-31,51.32258064516129,44.58064516129032,4.096774193548387,Obama
2016-04-30,50.3,45.6,4.1,Obama
2016-03-31,50.766666666666666,45.53333333333333,3.7,Obama
2016-02-29,47.857142857142854,48.214285714285715,3.9285714285714284,Obama
2016-01-31,47.5,48.13333333333333,4.366666666666666,Obama
2015-12-31,45.77777777777778,49.925925925925924,4.296296296296297,Obama
2015-11-30,46.964285714285715,48.892857142857146,4.142857142857143,Obama
2015-10-31,46.166666666666664,49.43333333333333,4.4,Obama
2015-09-30,46.55172413793103,49.51724137931034,4.068965517241379,Obama
2015-08-31,45.483870967741936,50.03225806451613,4.483870967741935,Obama
2015-07-31,45.8,49.03333333333333,5.166666666666667,Obama
2015-06-30,45.724137931034484,49.10344827586207,5.172413793103448,Obama
2015-05-31,46.483870967741936,48.645161290322584,4.870967741935484,Obama
2015-04-30,46.758620689655174,48.62068965517241,4.620689655172414,Obama
2015-03-31,46.25806451612903,48.87096774193548,4.870967741935484,Obama
2015-02-28,45.73076923076923,49.61538461538461,4.653846153846154,Obama
2015-01-31,46.55172413793103,48.06896551724138,5.448275862068965,Obama
2014-12-31,43.92307692307692,50.84615384615385,5.1923076923076925,Obama
2014-11-30,41.89655172413793,52.96551724137931,5.137931034482759,Obama
2014-10-31,41.6,53.4,5.0,Obama
2014-09-30,41.607142857142854,52.92857142857143,5.464285714285714,Obama
2014-08-31,41.7,52.2,6.1,Obama
2014-07-31,42.03333333333333,52.46666666666667,5.5,Obama
2014-06-30,42.310344827586206,52.06896551724138,5.620689655172414,Obama
2014-05-31,44.16129032258065,50.70967741935484,5.129032258064516,Obama
2014-04-30,43.793103448275865,50.689655172413794,5.517241379310345,Obama
2014-03-31,42.43333333333333,52.6,4.966666666666667,Obama
2014-02-28,41.80769230769231,51.76923076923077,6.5,Obama
2014-01-31,41.166666666666664,51.13333333333333,7.7,Obama
2013-12-31,41.19230769230769,50.96153846153846,7.846153846153846,Obama
2013-11-30,41.0,52.392857142857146,6.607142857142857,Obama
2013-10-31,42.903225806451616,50.58064516129032,6.516129032258065,Obama
2013-09-30,44.333333333333336,47.333333333333336,8.333333333333334,Obama
2013-08-31,45.225806451612904,46.774193548387096,8.0,Obama
2013-07-31,46.06896551724138,46.44827586206897,7.551724137931035,Obama
2013-06-30,46.96666666666667,45.166666666666664,7.866666666666666,Obama
2013-05-31,49.193548387096776,44.096774193548384,6.709677419354839,Obama
2013-04-30,49.333333333333336,43.96666666666667,6.7,Obama
2013-03-31,47.93333333333333,44.96666666666667,7.1,Obama
2013-02-28,51.46153846153846,42.46153846153846,6.076923076923077,Obama
2013-01-31,52.03448275862069,41.827586206896555,6.137931034482759,Obama
2012-12-31,52.81481481481482,40.629629629629626,6.555555555555555,Obama
2012-11-30,51.26923076923077,42.19230769230769,6.769230769230769,Obama
2012-10-31,50.0,44.77777777777778,5.222222222222222,Obama
2012-09-30,48.733333333333334,44.8,6.466666666666667,Obama
2012-08-31,45.096774193548384,48.0,6.903225806451613,Obama
2012-07-31,45.827586206896555,46.89655172413793,7.275862068965517,Obama
2012-06-30,46.46666666666667,46.733333333333334,6.8,Obama
2012-05-31,47.43333333333333,46.13333333333333,6.433333333333334,Obama
2012-04-30,47.464285714285715,45.5,7.035714285714286,Obama
2012-03-31,46.45161290322581,46.03225806451613,7.516129032258065,Obama
2012-02-29,45.48148148148148,47.333333333333336,7.185185185185185,Obama
2012-01-31,44.86666666666667,47.1,8.033333333333333,Obama
2011-12-31,42.84615384615385,49.38461538461539,7.769230769230769,Obama
2011-11-30,42.724137931034484,48.93103448275862,8.344827586206897,Obama
2011-10-31,41.1,51.03333333333333,7.866666666666666,Obama
2011-09-30,41.13793103448276,50.6551724137931,8.206896551724139,Obama
2011-08-31,40.6,51.56666666666667,7.833333333333333,Obama
2011-07-31,44.1,47.733333333333334,8.166666666666666,Obama
2011-06-30,46.43333333333333,45.46666666666667,8.1,Obama
2011-05-31,49.53333333333333,42.4,8.066666666666666,Obama
2011-04-30,44.10344827586207,47.172413793103445,8.344827586206897,Obama
2011-03-31,46.8,45.0,8.2,Obama
2011-02-28,47.592592592592595,44.148148148148145,8.25925925925926,Obama
2011-01-31,49.172413793103445,42.827586206896555,8.0,Obama
2010-12-31,45.88,46.32,7.8,Obama
2010-11-30,45.074074074074076,47.148148148148145,7.777777777777778,Obama
2010-10-31,45.0,47.53333333333333,7.466666666666667,Obama
2010-09-30,45.166666666666664,47.333333333333336,7.5,Obama
2010-08-31,43.96774193548387,48.645161290322584,7.387096774193548,Obama
2010-07-31,45.733333333333334,46.5,7.766666666666667,Obama
2010-06-30,46.46666666666667,45.5,8.033333333333333,Obama
2010-05-31,48.3448275862069,44.3448275862069,7.310344827586207,Obama
2010-04-30,48.535714285714285,44.857142857142854,6.607142857142857,Obama
2010-03-31,48.63333333333333,44.233333333333334,7.133333333333334,Obama
2010-02-28,50.285714285714285,42.57142857142857,7.142857142857143,Obama
2010-01-31,49.36666666666667,44.13333333333333,6.533333333333333,Obama
2009-12-31,50.16,42.76,7.08,Obama
2009-11-30,51.03448275862069,41.758620689655174,7.206896551724138,Obama
2009-10-31,52.774193548387096,40.0,7.225806451612903,Obama
2009-09-30,52.142857142857146,40.5,7.357142857142857,Obama
2009-08-31,53.25806451612903,39.83870967741935,6.903225806451613,Obama
2009-07-31,57.5,35.4,7.1,Obama
2009-06-30,60.6551724137931,32.06896551724138,7.275862068965517,Obama
