DATE,MRTSSM441XUSS
1992-01-01,30167
1992-02-01,30457
1992-03-01,29891
1992-04-01,30361
1992-05-01,30847
1992-06-01,31260
1992-07-01,31729
1992-08-01,31124
1992-09-01,32369
1992-10-01,32396
1992-11-01,32336
1992-12-01,32693
1993-01-01,34021
1993-02-01,33087
1993-03-01,32430
1993-04-01,34849
1993-05-01,35267
1993-06-01,35171
1993-07-01,36479
1993-08-01,36689
1993-09-01,36342
1993-10-01,37020
1993-11-01,38267
1993-12-01,39035
1994-01-01,38676
1994-02-01,39648
1994-03-01,40435
1994-04-01,40972
1994-05-01,40081
1994-06-01,40475
1994-07-01,40339
1994-08-01,41053
1994-09-01,42187
1994-10-01,42856
1994-11-01,43014
1994-12-01,42718
1995-01-01,42991
1995-02-01,41749
1995-03-01,42482
1995-04-01,42782
1995-05-01,43442
1995-06-01,45312
1995-07-01,44520
1995-08-01,45351
1995-09-01,44783
1995-10-01,44867
1995-11-01,45343
1995-12-01,45687
1996-01-01,45865
1996-02-01,47731
1996-03-01,47809
1996-04-01,46962
1996-05-01,47604
1996-06-01,47172
1996-07-01,47359
1996-08-01,46899
1996-09-01,48567
1996-10-01,48718
1996-11-01,48006
1996-12-01,48069
1997-01-01,49223
1997-02-01,49794
1997-03-01,49373
1997-04-01,49005
1997-05-01,47406
1997-06-01,49176
1997-07-01,50346
1997-08-01,50536
1997-09-01,50355
1997-10-01,49941
1997-11-01,50318
1997-12-01,50945
1998-01-01,50551
1998-02-01,49882
1998-03-01,51122
1998-04-01,52518
1998-05-01,52842
1998-06-01,54306
1998-07-01,51326
1998-08-01,50016
1998-09-01,52181
1998-10-01,54221
1998-11-01,54802
1998-12-01,55400
1999-01-01,55418
1999-02-01,56116
1999-03-01,56554
1999-04-01,56965
1999-05-01,58046
1999-06-01,58287
1999-07-01,59314
1999-08-01,60563
1999-09-01,59792
1999-10-01,59175
1999-11-01,60835
1999-12-01,60559
2000-01-01,62306
2000-02-01,63801
2000-03-01,63027
2000-04-01,60592
2000-05-01,60492
2000-06-01,61345
2000-07-01,59995
2000-08-01,60075
2000-09-01,61360
2000-10-01,61017
2000-11-01,59479
2000-12-01,58207
2001-01-01,60970
2001-02-01,61168
2001-03-01,60635
2001-04-01,61803
2001-05-01,61922
2001-06-01,61566
2001-07-01,60916
2001-08-01,61183
2001-09-01,58857
2001-10-01,75352
2001-11-01,67325
2001-12-01,63109
2002-01-01,62485
2002-02-01,62979
2002-03-01,61460
2002-04-01,63025
2002-05-01,59858
2002-06-01,62104
2002-07-01,64660
2002-08-01,66924
2002-09-01,62794
2002-10-01,62319
2002-11-01,62718
2002-12-01,64635
2003-01-01,64454
2003-02-01,61336
2003-03-01,63363
2003-04-01,64330
2003-05-01,64353
2003-06-01,64984
2003-07-01,65680
