,inflation rate in %,adjusted inflation
0,0.15%,0.9985
1,0.36%,0.9949054
2,0.51%,0.98983138246
3,0.14%,0.988445618524556
4,0.14%,0.9870617946586216
5,0.36%,0.9835083721978506
6,0.21%,0.9814430046162351
7,0.28%,0.9786949642033096
8,0.28%,0.9759546183035404
9,0.35%,0.972538777139478
10,0.14%,0.9711772228514828
11,-0.07%,0.9718570469074788
12,0.49%,0.9670949473776321
13,0.35%,0.9637101150618105
14,0.35%,0.9603371296590942
15,0.28%,0.9576481856960487
16,0.14%,0.9563074782360743
17,0.14%,0.9549686477665439
18,0.00%,0.9549686477665439
19,0.28%,0.9522947355527975
20,0.21%,0.9502949166081367
21,0.41%,0.9463987074500434
22,0.07%,0.9457362283548283
23,0.00%,0.9457362283548283
24,0.27%,0.9431827405382702
25,0.34%,0.9399759192204401
26,0.34%,0.9367800010950906
27,0.14%,0.9354685090935575
28,0.07%,0.934813681137192
29,0.34%,0.9316353146213255
30,0.27%,0.9291198992718479
31,0.40%,0.9254034196747605
32,0.27%,0.9229048304416386
33,0.07%,0.9222587970603294
34,0.13%,0.921059860624151
35,0.00%,0.921059860624151
36,0.40%,0.9173756211816544
37,0.40%,0.9137061186969277
38,0.33%,0.910690888505228
39,0.33%,0.9076856085731607
40,0.20%,0.9058702373560144
41,0.20%,0.9040584968813024
42,0.00%,0.9040584968813024
43,0.26%,0.901707944789411
44,0.20%,0.8999045288998322
45,0.33%,0.8969348439544628
46,-0.07%,0.8975626983452308
47,-0.07%,0.8981909922340724
48,0.59%,0.8928916653798914
49,0.32%,0.8900344120506758
50,0.52%,0.8854062331080123
51,0.39%,0.881953148798891
52,0.19%,0.8802774378161731
53,0.06%,0.8797492713534834
54,0.19%,0.8780777477379117
55,0.19%,0.8764094000172097
56,0.32%,0.8736048899371547
57,0.32%,0.8708093542893558
58,0.19%,0.869154816516206
59,0.00%,0.869154816516206
60,0.32%,0.8663735211033541
61,0.31%,0.8636877631879337
62,0.25%,0.8615285437799639
63,0.12%,0.860494709527428
64,-0.06%,0.8610110063531444
65,0.12%,0.8599777931455207
66,0.12%,0.8589458197937461
67,0.19%,0.857313822736138
68,0.25%,0.8551705381792977
69,0.25%,0.8530326118338495
70,-0.06%,0.8535444314009497
71,-0.12%,0.8545686847186309
72,0.19%,0.8529450042176655
73,0.19%,0.851324408709652
74,0.19%,0.8497068923331036
75,0.18%,0.848177419926904
76,0.18%,0.8466507005710355
77,0.12%,0.8456347197303503
78,0.12%,0.8446199580666739
79,0.12%,0.8436064141169939
80,0.12%,0.8425940864200535
81,0.24%,0.8405718606126454
82,0.00%,0.8405718606126454
83,-0.06%,0.8410762037290129
84,0.24%,0.8390576208400633
85,0.12%,0.8380507516950553
86,0.30%,0.83553659943997
87,0.73%,0.8294371822640583
88,0.00%,0.8294371822640583
89,0.00%,0.8294371822640583
90,0.30%,0.8269488707172661
91,0.24%,0.8249641934275447
92,0.48%,0.8210043652990925
93,0.18%,0.8195265574415541
94,0.06%,0.8190348415070892
95,0.00%,0.8190348415070892
96,0.30%,0.8165777369825679
97,0.59%,0.8117599283343707
98,0.82%,0.8051034969220289
99,0.06%,0.8046204348238756
100,0.12%,0.8036548903020869
101,0.52%,0.7994758848725161
102,0.23%,0.7976370903373093
103,0.00%,0.7976370903373093
104,0.52%,0.7934893774675553
105,0.17%,0.7921404455258605
106,0.06%,0.7916651612585449
107,-0.06%,0.7921401603553
108,0.63%,0.7871496773450616
109,0.40%,0.7840010786356814
110,0.23%,0.7821978761548193
111,0.40%,0.7790690846502
112,0.45%,0.7755632737692741
113,0.17%,0.7742448162038663
114,-0.28%,0.776412701689237
115,0.00%,0.776412701689237
116,0.45%,0.7729188445316355
117,-0.34%,0.7755467686030432
118,-0.17%,0.7768651981096684
119,-0.39%,0.7798949723822961
120,0.23%,0.7781012139458169
121,0.40%,0.7749888090900336
122,0.56%,0.7706488717591294
123,0.56%,0.7663332380772783
124,0.00%,0.7663332380772783
125,0.06%,0.7658734381344319
126,0.11%,0.765030977352484
127,0.33%,0.7625063751272209
128,0.17%,0.7612101142895046
129,0.17%,0.7599160570952124
130,0.00%,0.7599160570952124
131,-0.22%,0.7615878724208218
132,0.44%,0.7582368857821702
133,0.77%,0.7523984617616475
134,0.60%,0.7478840709910776
135,-0.22%,0.749529415947258
