DATE,MRTSSM4481USS
1992-01-01,6758
1992-02-01,6791
1992-03-01,6721
1992-04-01,6954
1992-05-01,6947
1992-06-01,7091
1992-07-01,7136
1992-08-01,7272
1992-09-01,7272
1992-10-01,7244
1992-11-01,7194
1992-12-01,7402
1993-01-01,7621
1993-02-01,7265
1993-03-01,7056
1993-04-01,7336
1993-05-01,7399
1993-06-01,7299
1993-07-01,7418
1993-08-01,7272
1993-09-01,7404
1993-10-01,7379
1993-11-01,7384
1993-12-01,7314
1994-01-01,7276
1994-02-01,7426
1994-03-01,7575
1994-04-01,7452
1994-05-01,7328
1994-06-01,7468
1994-07-01,7444
1994-08-01,7602
1994-09-01,7405
1994-10-01,7648
1994-11-01,7639
1994-12-01,7615
1995-01-01,7657
1995-02-01,7458
1995-03-01,7513
1995-04-01,7441
1995-05-01,7555
1995-06-01,7544
1995-07-01,7467
1995-08-01,7429
1995-09-01,7787
1995-10-01,7466
1995-11-01,7713
1995-12-01,7679
1996-01-01,7595
1996-02-01,7842
1996-03-01,7703
1996-04-01,7800
1996-05-01,7836
1996-06-01,7827
1996-07-01,7730
1996-08-01,7760
1996-09-01,7950
1996-10-01,7965
1996-11-01,7802
1996-12-01,7898
1997-01-01,8002
1997-02-01,7924
1997-03-01,8007
1997-04-01,7791
1997-05-01,7971
1997-06-01,8125
1997-07-01,8186
1997-08-01,8331
1997-09-01,8252
1997-10-01,8316
1997-11-01,8317
1997-12-01,8446
1998-01-01,8462
1998-02-01,8482
1998-03-01,8475
1998-04-01,8737
1998-05-01,8596
1998-06-01,8681
1998-07-01,8797
1998-08-01,8713
1998-09-01,8534
1998-10-01,8768
1998-11-01,8928
1998-12-01,8878
1999-01-01,9024
1999-02-01,9072
1999-03-01,9186
1999-04-01,9293
1999-05-01,9427
1999-06-01,9386
1999-07-01,9281
1999-08-01,9410
1999-09-01,9391
1999-10-01,9373
1999-11-01,9371
1999-12-01,9388
2000-01-01,9267
2000-02-01,9445
2000-03-01,9750
2000-04-01,9700
2000-05-01,9858
2000-06-01,9738
2000-07-01,9594
2000-08-01,9902
2000-09-01,10119
2000-10-01,10049
2000-11-01,10173
2000-12-01,9978
2001-01-01,10014
2001-02-01,10084
2001-03-01,9760
2001-04-01,10103
2001-05-01,9928
2001-06-01,9864
2001-07-01,9925
2001-08-01,10090
2001-09-01,9488
2001-10-01,10020
2001-11-01,9915
2001-12-01,10132
2002-01-01,10103
2002-02-01,10205
2002-03-01,10226
2002-04-01,10252
2002-05-01,10071
2002-06-01,10246
2002-07-01,10187
2002-08-01,10214
2002-09-01,9934
2002-10-01,10531
2002-11-01,10360
2002-12-01,10522
2003-01-01,10476
2003-02-01,10106
2003-03-01,10436
2003-04-01,10397
2003-05-01,10592
2003-06-01,10726
2003-07-01,10904
2003-08-01,10820
2003-09-01,10919
2003-10-01,10821
2003-11-01,10988
2003-12-01,11113
